Entry	Entry name	Status	Protein names	Gene names	Organism	Length	Gene ontology (biological process)
Q53213	NIFQ_SINFN	reviewed	Protein NifQ homolog	nifQ NGR_a01190 y4vE	Sinorhizobium fredii (strain NBRC 101917 / NGR234)	230	nitrogen fixation [GO:0009399]
P18795	NIFC_CLOPA	reviewed	Probable transport system permease protein NifC	nifC	Clostridium pasteurianum	286	nitrogen fixation [GO:0009399]
Q44045	NIFD_ALCFA	reviewed	Nitrogenase molybdenum-iron protein alpha chain (EC 1.18.6.1) (Dinitrogenase) (Nitrogenase component I)	nifD	Alcaligenes faecalis	489	nitrogen fixation [GO:0009399]
Q47917	NIFH1_MASLA	reviewed	Nitrogenase iron protein 1 (EC 1.18.6.1) (Nitrogenase Fe protein 1) (Nitrogenase component II) (Nitrogenase reductase)	nifH1 nifH	Mastigocladus laminosus (Fischerella sp.)	295	nitrogen fixation [GO:0009399]
P08293	NIFE_AZOVI	reviewed	Nitrogenase iron-molybdenum cofactor biosynthesis protein NifE	nifE	Azotobacter vinelandii	474	molybdopterin cofactor biosynthetic process [GO:0032324]; nitrogen fixation [GO:0009399]; protein-containing complex assembly [GO:0065003]
P0A3S2	NIFH_TRIAZ	reviewed	Nitrogenase iron protein (EC 1.18.6.1) (Nitrogenase Fe protein) (Nitrogenase component II) (Nitrogenase reductase)	nifH	Trichormus azollae (Anabaena azollae)	295	nitrogen fixation [GO:0009399]
P19068	NIFH_SINFN	reviewed	Nitrogenase iron protein (EC 1.18.6.1) (Nitrogenase Fe protein) (Nitrogenase component II) (Nitrogenase reductase)	nifH1 NGR_a01130 y4vK; nifH2 NGR_a00890 y4xA	Sinorhizobium fredii (strain NBRC 101917 / NGR234)	296	nitrogen fixation [GO:0009399]
P09432	NTRC_RHOCB	reviewed	DNA-binding transcriptional regulator NtrC (Nitrogen regulation protein NR(I)) (Nitrogen regulator I) (NRI)	ntrC nifR1 RCAP_rcc01798	Rhodobacter capsulatus (strain ATCC BAA-309 / NBRC 16581 / SB1003)	458	nitrogen fixation [GO:0009399]; phosphorelay signal transduction system [GO:0000160]; regulation of transcription, DNA-templated [GO:0006355]
P68169	HBPL_PARRI	reviewed	Non-legume hemoglobin		Parasponia rigida	162	
P77875	NIFK_HERSE	reviewed	Nitrogenase molybdenum-iron protein beta chain (EC 1.18.6.1) (Dinitrogenase) (Nitrogenase component I) (Fragment)	nifK	Herbaspirillum seropedicae	356	nitrogen fixation [GO:0009399]
B5ER58	NIFW_ACIF5	reviewed	Nitrogenase-stabilizing/protective protein NifW	nifW Lferr_1222	Acidithiobacillus ferrooxidans (strain ATCC 53993) (Leptospirillum ferrooxidans (ATCC 53993))	110	nitrogen fixation [GO:0009399]
P23124	NIFZ_AZOCH	reviewed	Protein NifZ	nifZ	Azotobacter chroococcum mcd 1	158	nitrogen fixation [GO:0009399]
B6IXL9	NIFW_RHOCS	reviewed	Nitrogenase-stabilizing/protective protein NifW	nifW RC1_3694	Rhodospirillum centenum (strain ATCC 51521 / SW)	105	nitrogen fixation [GO:0009399]
Q09158	NIFH_DESMC	reviewed	Nitrogenase iron protein (EC 1.18.6.1) (Nitrogenase Fe protein) (Nitrogenase component II) (Nitrogenase reductase) (Fragment)	nifH	Desmonostoc muscorum (Nostoc muscorum)	108	nitrogen fixation [GO:0009399]
P20623	NIFH_RHILE	reviewed	Nitrogenase iron protein (EC 1.18.6.1) (Nitrogenase Fe protein) (Nitrogenase component II) (Nitrogenase reductase) (Fragment)	nifH	Rhizobium leguminosarum	47	nitrogen fixation [GO:0009399]
O34106	NIFH_TRIEI	reviewed	Nitrogenase iron protein (EC 1.18.6.1) (Nitrogenase Fe protein) (Nitrogenase component II) (Nitrogenase reductase)	nifH Tery_4136	Trichodesmium erythraeum (strain IMS101)	296	nitrogen fixation [GO:0009399]
P26254	NIFH_TRITH	reviewed	Nitrogenase iron protein (EC 1.18.6.1) (Nitrogenase Fe protein) (Nitrogenase component II) (Nitrogenase reductase)	nifH	Trichodesmium thiebautii	294	nitrogen fixation [GO:0009399]
P37103	PLAP_KLEPN	reviewed	Probable low-affinity putrescine importer PlaP (Fragment)	plaP	Klebsiella pneumoniae	197	amino acid transport [GO:0006865]
Q9FEP8	LGB_LOTJA	reviewed	Leghemoglobin		Lotus japonicus (Lotus corniculatus var. japonicus)	147	
Q9SAZ0	LGB6_PEA	reviewed	Leghemoglobin Lb120-34		Pisum sativum (Garden pea)	146	
A4VRE8	METK_PSEU5	reviewed	S-adenosylmethionine synthase (AdoMet synthase) (EC 2.5.1.6) (MAT) (Methionine adenosyltransferase)	metK PST_3926	Pseudomonas stutzeri (strain A1501)	396	one-carbon metabolic process [GO:0006730]; S-adenosylmethionine biosynthetic process [GO:0006556]
A4VPM7	PANC_PSEU5	reviewed	Pantothenate synthetase (PS) (EC 6.3.2.1) (Pantoate--beta-alanine ligase) (Pantoate-activating enzyme)	panC PST_3297	Pseudomonas stutzeri (strain A1501)	286	pantothenate biosynthetic process [GO:0015940]
P06122	NIFK_BRASP	reviewed	Nitrogenase molybdenum-iron protein beta chain (EC 1.18.6.1) (Dinitrogenase) (Nitrogenase component I)	nifK	Bradyrhizobium sp. (strain ANU 289)	513	nitrogen fixation [GO:0009399]
P05342	NIFV_AZOVI	reviewed	Homocitrate synthase (EC 2.3.3.14)	nifV	Azotobacter vinelandii	385	carboxylic acid metabolic process [GO:0019752]; nitrogen fixation [GO:0009399]
C1DH23	NIFW_AZOVD	reviewed	Nitrogenase-stabilizing/protective protein NifW	nifW Avin_01670	Azotobacter vinelandii (strain DJ / ATCC BAA-1303)	115	nitrogen fixation [GO:0009399]
P10996	NIFE_CLOPA	reviewed	Nitrogenase iron-molybdenum cofactor biosynthesis protein NifE	nifE	Clostridium pasteurianum	456	nitrogen fixation [GO:0009399]; protein-containing complex assembly [GO:0065003]
P09825	NIFB_RHILE	reviewed	FeMo cofactor biosynthesis protein NifB (EC 4.-.-.-) (Nitrogenase cofactor maturase NifB) (Radical SAM assemblase NifB) (Fragment)	nifB	Rhizobium leguminosarum	162	nitrogen fixation [GO:0009399]
P51755	NIFE_METBA	reviewed	Nitrogenase iron-molybdenum cofactor biosynthesis protein NifE (Fragment)	nifE2	Methanosarcina barkeri	463	nitrogen fixation [GO:0009399]; protein-containing complex assembly [GO:0065003]
Q60C56	NIFW_METCA	reviewed	Nitrogenase-stabilizing/protective protein NifW	nifW MCA0255	Methylococcus capsulatus (strain ATCC 33009 / NCIMB 11132 / Bath)	112	nitrogen fixation [GO:0009399]
P25315	NIFY_AZOBR	reviewed	Protein NifY	nifY	Azospirillum brasilense	227	nitrogen fixation [GO:0009399]
Q58289	NIFH_METJA	reviewed	Nitrogenase iron protein (EC 1.18.6.1) (Nitrogenase Fe protein) (Nitrogenase component II) (Nitrogenase reductase)	nifH MJ0879	Methanocaldococcus jannaschii (strain ATCC 43067 / DSM 2661 / JAL-1 / JCM 10045 / NBRC 100440) (Methanococcus jannaschii)	279	nitrogen fixation [GO:0009399]
D5ANI3	NIFH1_RHOCB	reviewed	Nitrogenase iron protein 1 (EC 1.18.6.1) (Nitrogenase Fe protein 1) (Nitrogenase component II) (Nitrogenase reductase)	nifH RCAP_rcc00572	Rhodobacter capsulatus (strain ATCC BAA-309 / NBRC 16581 / SB1003)	295	nitrogen fixation [GO:0009399]
A0LH11	NIFH_SYNFM	reviewed	Nitrogenase iron protein (EC 1.18.6.1) (Nitrogenase Fe protein) (Nitrogenase component II) (Nitrogenase reductase)	nifH Sfum_1019	Syntrophobacter fumaroxidans (strain DSM 10017 / MPOB)	274	nitrogen fixation [GO:0009399]
P28788	NTRB_PROHU	reviewed	Sensory histidine kinase/phosphatase NtrB (EC 2.7.13.3) (EC 3.1.3.-) (Nitrogen regulation protein NR(II)) (Nitrogen regulator II) (NRII)	ntrB	Proteus hauseri	348	nitrogen fixation [GO:0009399]
A4VI54	OBG_PSEU5	reviewed	GTPase Obg (EC 3.6.5.-) (GTP-binding protein Obg)	obg PST_0958	Pseudomonas stutzeri (strain A1501)	405	ribosome biogenesis [GO:0042254]
A4VHM9	RS10_PSEU5	reviewed	30S ribosomal protein S10	rpsJ PST_0783	Pseudomonas stutzeri (strain A1501)	103	translation [GO:0006412]
A4VQN0	RS6_PSEU5	reviewed	30S ribosomal protein S6	rpsF PST_3656	Pseudomonas stutzeri (strain A1501)	138	translation [GO:0006412]
P14890	NIFM_AZOVI	reviewed	Putative peptidyl-prolyl cis-trans isomerase NifM (PPIase NifM) (EC 5.2.1.8) (Rotamase NifM)	nifM	Azotobacter vinelandii	292	nitrogen fixation [GO:0009399]
P06661	NIFH_ACIFR	reviewed	Nitrogenase iron protein (EC 1.18.6.1) (Nitrogenase Fe protein) (Nitrogenase component II) (Nitrogenase reductase)	nifH	Acidithiobacillus ferrooxidans (Thiobacillus ferrooxidans)	296	nitrogen fixation [GO:0009399]
Q01181	NIFV_RHOSH	reviewed	Homocitrate synthase (EC 2.3.3.14)	nifV	Rhodobacter sphaeroides (Rhodopseudomonas sphaeroides)	391	carboxylic acid metabolic process [GO:0019752]; nitrogen fixation [GO:0009399]
Q3M644	NIFW1_TRIV2	reviewed	Nitrogenase-stabilizing/protective protein NifW 1	nifW1 Ava_3937	Trichormus variabilis (strain ATCC 29413 / PCC 7937) (Anabaena variabilis)	105	nitrogen fixation [GO:0009399]
Q2JTL7	NIFH_SYNJA	reviewed	Nitrogenase iron protein (EC 1.18.6.1) (Nitrogenase Fe protein) (Nitrogenase component II) (Nitrogenase reductase)	nifH CYA_1824	Synechococcus sp. (strain JA-3-3Ab) (Cyanobacteria bacterium Yellowstone A-Prime)	292	nitrogen fixation [GO:0009399]
P04145	NO24_SOYBN	reviewed	Nodulin-24 (N-24)		Glycine max (Soybean) (Glycine hispida)	147	nodulation [GO:0009877]
P10577	NTRC_RHIME	reviewed	DNA-binding transcriptional regulator NtrC (Nitrogen regulation protein NR(I)) (Nitrogen regulator I) (NRI)	ntrC R01459 SMc01043	Rhizobium meliloti (strain 1021) (Ensifer meliloti) (Sinorhizobium meliloti)	484	nitrogen fixation [GO:0009399]; regulation of nitrogen utilization [GO:0006808]; regulation of transcription, DNA-templated [GO:0006355]
P0A2E0	NTRB_SALTI	reviewed	Sensory histidine kinase/phosphatase NtrB (EC 2.7.13.3) (EC 3.1.3.-) (Nitrogen regulation protein NR(II)) (Nitrogen regulator II) (NRII)	glnL ntrB STY3875 t3615	Salmonella typhi	349	nitrogen fixation [GO:0009399]; regulation of transcription, DNA-templated [GO:0006355]
A4VMS3	PLSX_PSEU5	reviewed	Phosphate acyltransferase (EC 2.3.1.274) (Acyl-ACP phosphotransacylase) (Acyl-[acyl-carrier-protein]--phosphate acyltransferase) (Phosphate-acyl-ACP acyltransferase)	plsX PST_2624	Pseudomonas stutzeri (strain A1501)	356	fatty acid biosynthetic process [GO:0006633]; phospholipid biosynthetic process [GO:0008654]
A4VHP9	RL15_PSEU5	reviewed	50S ribosomal protein L15	rplO PST_0803	Pseudomonas stutzeri (strain A1501)	144	translation [GO:0006412]
A4VFR3	RL28_PSEU5	reviewed	50S ribosomal protein L28	rpmB PST_0107	Pseudomonas stutzeri (strain A1501)	78	translation [GO:0006412]
P24695	RP54_ACIFR	reviewed	RNA polymerase sigma-54 factor	rpoN ntrA	Acidithiobacillus ferrooxidans (Thiobacillus ferrooxidans)	475	DNA-templated transcription, initiation [GO:0006352]; nitrogen fixation [GO:0009399]
P12781	NIFN_RHIME	reviewed	Nitrogenase iron-molybdenum cofactor biosynthesis protein NifN	nifN fixF RA0478 SMa0873	Rhizobium meliloti (strain 1021) (Ensifer meliloti) (Sinorhizobium meliloti)	441	nitrogen fixation [GO:0009399]; protein-containing complex assembly [GO:0065003]
B2J5Z9	NIFW_NOSP7	reviewed	Nitrogenase-stabilizing/protective protein NifW	nifW Npun_R0383	Nostoc punctiforme (strain ATCC 29133 / PCC 73102)	105	nitrogen fixation [GO:0009399]
P23122	NIFV_AZOCH	reviewed	Homocitrate synthase (EC 2.3.3.14)	nifV	Azotobacter chroococcum mcd 1	382	carboxylic acid metabolic process [GO:0019752]; nitrogen fixation [GO:0009399]
P23123	NIFW_AZOCH	reviewed	Nitrogenase-stabilizing/protective protein NifW	nifW	Azotobacter chroococcum mcd 1	114	nitrogen fixation [GO:0009399]
B3QB33	NIFW_RHOPT	reviewed	Nitrogenase-stabilizing/protective protein NifW	nifW Rpal_5087	Rhodopseudomonas palustris (strain TIE-1)	116	nitrogen fixation [GO:0009399]
P09134	NIFT_KLEPN	reviewed	Protein NifT	nifT	Klebsiella pneumoniae	72	nitrogen fixation [GO:0009399]
Q47G87	NIFW_DECAR	reviewed	Nitrogenase-stabilizing/protective protein NifW	nifW Daro_1395	Dechloromonas aromatica (strain RCB)	113	nitrogen fixation [GO:0009399]
P06662	NIFD_ACIFR	reviewed	Nitrogenase molybdenum-iron protein alpha chain (EC 1.18.6.1) (Dinitrogenase) (Nitrogenase component I)	nifD	Acidithiobacillus ferrooxidans (Thiobacillus ferrooxidans)	489	nitrogen fixation [GO:0009399]
A3CWW3	NIFH_METMJ	reviewed	Nitrogenase iron protein (EC 1.18.6.1) (Nitrogenase Fe protein) (Nitrogenase component II) (Nitrogenase reductase)	nifH Memar_1937	Methanoculleus marisnigri (strain ATCC 35101 / DSM 1498 / JR1)	272	nitrogen fixation [GO:0009399]
P00461	NIFH_RHILT	reviewed	Nitrogenase iron protein (EC 1.18.6.1) (Nitrogenase Fe protein) (Nitrogenase component II) (Nitrogenase reductase)	nifH	Rhizobium leguminosarum bv. trifolii	297	nitrogen fixation [GO:0009399]
P46054	NIFW2_TRIV2	reviewed	Nitrogenase-stabilizing/protective protein NifW 2	nifW2 Ava_4255	Trichormus variabilis (strain ATCC 29413 / PCC 7937) (Anabaena variabilis)	105	nitrogen fixation [GO:0009399]
O30577	NIFH2_NOSS1	reviewed	Nitrogenase iron protein 2 (EC 1.18.6.1) (Nitrogenase Fe protein 2) (Nitrogenase component II) (Nitrogenase reductase)	nifH2 alr0874	Nostoc sp. (strain PCC 7120 / SAG 25.82 / UTEX 2576)	297	nitrogen fixation [GO:0009399]
P77873	NIFH_HERSE	reviewed	Nitrogenase iron protein (EC 1.18.6.1) (Nitrogenase Fe protein) (Nitrogenase component II) (Nitrogenase reductase)	nifH	Herbaspirillum seropedicae	292	nitrogen fixation [GO:0009399]
Q7M8U8	NIFH_WOLSU	reviewed	Nitrogenase iron protein (EC 1.18.6.1) (Nitrogenase Fe protein) (Nitrogenase component II) (Nitrogenase reductase)	nifH WS1394	Wolinella succinogenes (strain ATCC 29543 / DSM 1740 / LMG 7466 / NCTC 11488 / FDC 602W) (Vibrio succinogenes)	303	nitrogen fixation [GO:0009399]
Q3M8N0	NIFJ_TRIV2	reviewed	Pyruvate-flavodoxin oxidoreductase (EC 1.2.7.-)	nifJ Ava_3046	Trichormus variabilis (strain ATCC 29413 / PCC 7937) (Anabaena variabilis)	1190	electron transport chain [GO:0022900]; nitrogen fixation [GO:0009399]
Q43236	LGB1_VIGUN	reviewed	Leghemoglobin-1 (Leghemoglobin I) (LbI)	LBI	Vigna unguiculata (Cowpea)	145	
Q2KA78	LPXF_RHIEC	reviewed	Lipid A 4'-phosphatase (EC 3.1.-.-)	lpxf RHE_CH01455	Rhizobium etli (strain CFN 42 / ATCC 51251)	257	lipid A biosynthetic process [GO:0009245]; lipopolysaccharide biosynthetic process [GO:0009103]; response to antibiotic [GO:0046677]
O30807	MAO1_RHIME	reviewed	NAD-dependent malic enzyme (NAD-ME) (EC 1.1.1.39)	dme R01837 SMc00169	Rhizobium meliloti (strain 1021) (Ensifer meliloti) (Sinorhizobium meliloti)	770	malate metabolic process [GO:0006108]
A4VJR0	PDXH_PSEU5	reviewed	Pyridoxine/pyridoxamine 5'-phosphate oxidase (EC 1.4.3.5) (PNP/PMP oxidase) (PNPOx) (Pyridoxal 5'-phosphate synthase)	pdxH PST_1526	Pseudomonas stutzeri (strain A1501)	215	pyridoxine biosynthetic process [GO:0008615]
A4VR07	PROA_PSEU5	reviewed	Gamma-glutamyl phosphate reductase (GPR) (EC 1.2.1.41) (Glutamate-5-semialdehyde dehydrogenase) (Glutamyl-gamma-semialdehyde dehydrogenase) (GSA dehydrogenase)	proA PST_3785	Pseudomonas stutzeri (strain A1501)	421	L-proline biosynthetic process [GO:0055129]
A4VQV5	OADC_PSEU5	reviewed	Oxaloacetate decarboxylase (EC 4.1.1.112)	PST_3733	Pseudomonas stutzeri (strain A1501)	287	oxaloacetate metabolic process [GO:0006107]; pyruvate biosynthetic process [GO:0042866]
A4VNP3	RLME_PSEU5	reviewed	Ribosomal RNA large subunit methyltransferase E (EC 2.1.1.166) (23S rRNA Um2552 methyltransferase) (rRNA (uridine-2'-O-)-methyltransferase)	rlmE ftsJ rrmJ PST_2948	Pseudomonas stutzeri (strain A1501)	206	
A4VI28	RLMG_PSEU5	reviewed	Ribosomal RNA large subunit methyltransferase G (EC 2.1.1.174) (23S rRNA m2G1835 methyltransferase) (rRNA (guanine-N(2)-)-methyltransferase RlmG)	rlmG PST_0932	Pseudomonas stutzeri (strain A1501)	375	
P33177	NIFD_ANASL	reviewed	Nitrogenase molybdenum-iron protein alpha chain (EC 1.18.6.1) (Dinitrogenase) (Nitrogenase component I) (Fragment)	nifD	Anabaena sp. (strain L31)	23	nitrogen fixation [GO:0009399]
P26252	NIFH2_AZOC5	reviewed	Nitrogenase iron protein 2 (EC 1.18.6.1) (Nitrogenase Fe protein 2) (Nitrogenase component II) (Nitrogenase reductase)	nifH2 AZC_1041	Azorhizobium caulinodans (strain ATCC 43989 / DSM 5975 / JCM 20966 / NBRC 14845 / NCIMB 13405 / ORS 571)	296	nitrogen fixation [GO:0009399]
Q98AP3	NIFN_RHILO	reviewed	Nitrogenase iron-molybdenum cofactor biosynthesis protein NifN	nifN mlr5909	Mesorhizobium japonicum (strain LMG 29417 / CECT 9101 / MAFF 303099) (Mesorhizobium loti (strain MAFF 303099))	460	nitrogen fixation [GO:0009399]; protein-containing complex assembly [GO:0065003]
O07355	NIFE_RIPO1	reviewed	Nitrogenase iron-molybdenum cofactor biosynthesis protein NifE	nifE PCC8801_1788	Rippkaea orientalis (strain PCC 8801) (Cyanothece sp. (strain PCC 8801))	470	nitrogen fixation [GO:0009399]; protein-containing complex assembly [GO:0065003]
Q07HZ5	NIFW_RHOP5	reviewed	Nitrogenase-stabilizing/protective protein NifW	nifW RPE_4519	Rhodopseudomonas palustris (strain BisA53)	112	nitrogen fixation [GO:0009399]
Q8PYY0	NIFH_METMA	reviewed	Nitrogenase iron protein (EC 1.18.6.1) (Nitrogenase Fe protein) (Nitrogenase component II) (Nitrogenase reductase)	nifH MM_0719	Methanosarcina mazei (strain ATCC BAA-159 / DSM 3647 / Goe1 / Go1 / JCM 11833 / OCM 88) (Methanosarcina frisia)	273	nitrogen fixation [GO:0009399]
P41789	NTRC_SALTY	reviewed	DNA-binding transcriptional regulator NtrC (Nitrogen regulation protein NR(I)) (Nitrogen regulator I) (NRI)	glnG ntrC STM4005	Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720)	469	nitrogen fixation [GO:0009399]; regulation of nitrogen utilization [GO:0006808]; regulation of transcription, DNA-templated [GO:0006355]
A4VG93	RIMK_PSEU5	reviewed	Probable alpha-L-glutamate ligase (EC 6.3.2.-)	rimK PST_0288	Pseudomonas stutzeri (strain A1501)	301	cellular protein modification process [GO:0006464]; translation [GO:0006412]
A4VHP2	RL5_PSEU5	reviewed	50S ribosomal protein L5	rplE PST_0796	Pseudomonas stutzeri (strain A1501)	179	translation [GO:0006412]
A4VM16	IHFA_PSEU5	reviewed	Integration host factor subunit alpha (IHF-alpha)	ihfA himA PST_2363	Pseudomonas stutzeri (strain A1501)	100	DNA recombination [GO:0006310]; regulation of transcription, DNA-templated [GO:0006355]; regulation of translation [GO:0006417]
A4VNE5	METE_PSEU5	reviewed	5-methyltetrahydropteroyltriglutamate--homocysteine methyltransferase (EC 2.1.1.14) (Cobalamin-independent methionine synthase) (Methionine synthase, vitamin-B12 independent isozyme)	metE PST_2850	Pseudomonas stutzeri (strain A1501)	771	methionine biosynthetic process [GO:0009086]; methylation [GO:0032259]
A4VI57	RS20_PSEU5	reviewed	30S ribosomal protein S20	rpsT PST_0961	Pseudomonas stutzeri (strain A1501)	92	translation [GO:0006412]
A4VNR4	RAPA_PSEU5	reviewed	RNA polymerase-associated protein RapA (EC 3.6.4.-) (ATP-dependent helicase HepA)	rapA PST_2969	Pseudomonas stutzeri (strain A1501)	949	regulation of transcription, DNA-templated [GO:0006355]
Q04856	TRKA_AZOC5	reviewed	Trk system potassium uptake protein TrkA (K(+)-uptake protein TrkA)	trkA AZC_3082	Azorhizobium caulinodans (strain ATCC 43989 / DSM 5975 / JCM 20966 / NBRC 14845 / NCIMB 13405 / ORS 571)	458	
A4VNJ1	TRPA_PSEU5	reviewed	Tryptophan synthase alpha chain (EC 4.2.1.20)	trpA PST_2896	Pseudomonas stutzeri (strain A1501)	269	
A4VRK4	TRMB_PSEU5	reviewed	tRNA (guanine-N(7)-)-methyltransferase (EC 2.1.1.33) (tRNA (guanine(46)-N(7))-methyltransferase) (tRNA(m7G46)-methyltransferase)	trmB PST_3982	Pseudomonas stutzeri (strain A1501)	238	
P16857	VNFG_AZOVI	reviewed	Nitrogenase vanadium-iron protein delta chain (EC 1.18.6.1) (Dinitrogenase 2 subunit delta) (Nitrogenase component I)	vnfG	Azotobacter vinelandii	113	nitrogen fixation [GO:0009399]
A4VHG9	TSAD_PSEU5	reviewed	tRNA N6-adenosine threonylcarbamoyltransferase (EC 2.3.1.234) (N6-L-threonylcarbamoyladenine synthase) (t(6)A synthase) (t(6)A37 threonylcarbamoyladenosine biosynthesis protein TsaD) (tRNA threonylcarbamoyladenosine biosynthesis protein TsaD)	tsaD gcp PST_0715	Pseudomonas stutzeri (strain A1501)	341	tRNA threonylcarbamoyladenosine modification [GO:0002949]
A4VGD9	TATB_PSEU5	reviewed	Sec-independent protein translocase protein TatB	tatB PST_0334	Pseudomonas stutzeri (strain A1501)	139	protein transport by the Tat complex [GO:0043953]
P15333	VNFG_AZOCH	reviewed	Nitrogenase vanadium-iron protein delta chain (EC 1.18.6.1) (Dinitrogenase 2 subunit delta) (Nitrogenase component I)	vnfG	Azotobacter chroococcum mcd 1	113	nitrogen fixation [GO:0009399]
A4VHI1	PDXA_PSEU5	reviewed	4-hydroxythreonine-4-phosphate dehydrogenase (EC 1.1.1.262) (4-(phosphohydroxy)-L-threonine dehydrogenase)	pdxA PST_0727	Pseudomonas stutzeri (strain A1501)	329	pyridoxal phosphate biosynthetic process [GO:0042823]; pyridoxine biosynthetic process [GO:0008615]
A4VK43	TAL_PSEU5	reviewed	Transaldolase (EC 2.2.1.2)	tal PST_1660	Pseudomonas stutzeri (strain A1501)	308	carbohydrate metabolic process [GO:0005975]; pentose-phosphate shunt [GO:0006098]
A4VHK0	TRPD_PSEU5	reviewed	Anthranilate phosphoribosyltransferase (EC 2.4.2.18)	trpD PST_0746	Pseudomonas stutzeri (strain A1501)	348	tryptophan biosynthetic process [GO:0000162]
P29979	Y1449_NOSS1	reviewed	Uncharacterized protein alr1449	alr1449	Nostoc sp. (strain PCC 7120 / SAG 25.82 / UTEX 2576)	192	nitrogen fixation [GO:0009399]
D4H031	Y405_HALVD	reviewed	Probable cell surface fusion protein HVO_0405 [Cleaved into: LVIVD repeat domain-containing protein; NifU-like domain-containing protein]	HVO_0405	Haloferax volcanii (strain ATCC 29605 / DSM 3757 / JCM 8879 / NBRC 14742 / NCIMB 2012 / VKM B-1768 / DS2) (Halobacterium volcanii)	657	iron-sulfur cluster assembly [GO:0016226]
Q52069	NIFS_ENTAG	reviewed	Cysteine desulfurase (EC 2.8.1.7) (Nitrogenase metalloclusters biosynthesis protein NifS)	nifS	Enterobacter agglomerans (Erwinia herbicola) (Pantoea agglomerans)	401	cellular amino acid metabolic process [GO:0006520]; nitrogen fixation [GO:0009399]
Q01179	NIFS_RHOSH	reviewed	Cysteine desulfurase (EC 2.8.1.7) (Nitrogenase metalloclusters biosynthesis protein NifS)	nifS	Rhodobacter sphaeroides (Rhodopseudomonas sphaeroides)	387	cellular amino acid metabolic process [GO:0006520]; nitrogen fixation [GO:0009399]
P09427	NIFT_AZOVI	reviewed	Protein NifT	nifT	Azotobacter vinelandii	72	nitrogen fixation [GO:0009399]
P77874	NIFD_HERSE	reviewed	Nitrogenase molybdenum-iron protein alpha chain (EC 1.18.6.1) (Dinitrogenase) (Nitrogenase component I)	nifD	Herbaspirillum seropedicae	484	nitrogen fixation [GO:0009399]
O07360	NIFW_RIPO1	reviewed	Nitrogenase-stabilizing/protective protein NifW	nifW PCC8801_1793	Rippkaea orientalis (strain PCC 8801) (Cyanothece sp. (strain PCC 8801))	110	nitrogen fixation [GO:0009399]
B7KG76	NIFH_GLOC7	reviewed	Nitrogenase iron protein (EC 1.18.6.1) (Nitrogenase Fe protein) (Nitrogenase component II) (Nitrogenase reductase)	nifH PCC7424_2120	Gloeothece citriformis (strain PCC 7424) (Cyanothece sp. (strain PCC 7424))	299	nitrogen fixation [GO:0009399]
A5USK5	NIFH_ROSS1	reviewed	Nitrogenase iron protein (EC 1.18.6.1) (Nitrogenase Fe protein) (Nitrogenase component II) (Nitrogenase reductase)	nifH RoseRS_1201	Roseiflexus sp. (strain RS-1)	273	nitrogen fixation [GO:0009399]
Q9APC2	NIFJ_NOSSO	reviewed	Pyruvate-flavodoxin oxidoreductase (EC 1.2.7.-) (Fragment)	nifJ	Nostoc sp. (strain ATCC 29151 / PCC 7119) (Anabaena sp.)	404	nitrogen fixation [GO:0009399]
Q52977	NTRB_RHIME	reviewed	Sensory histidine kinase/phosphatase NtrB (EC 2.7.13.3) (EC 3.1.3.-) (Nitrogen regulation protein NR(II)) (Nitrogen regulator II) (NRII)	ntrB R01458 SMc01042	Rhizobium meliloti (strain 1021) (Ensifer meliloti) (Sinorhizobium meliloti)	382	nitrogen fixation [GO:0009399]; regulation of transcription, DNA-templated [GO:0006355]
O68952	VNFK_AZOSA	reviewed	Nitrogenase vanadium-iron protein beta chain (EC 1.18.6.1) (Dinitrogenase 2 subunit beta) (Nitrogenase component I) (Fragment)	vnfK	Azotobacter salinestris	348	nitrogen fixation [GO:0009399]
A4VGZ9	UBID_PSEU5	reviewed	3-octaprenyl-4-hydroxybenzoate carboxy-lyase (EC 4.1.1.98) (Polyprenyl p-hydroxybenzoate decarboxylase)	ubiD PST_0544	Pseudomonas stutzeri (strain A1501)	488	ubiquinone biosynthetic process [GO:0006744]
A4VNS0	UPPP2_PSEU5	reviewed	Undecaprenyl-diphosphatase 2 (EC 3.6.1.27) (Bacitracin resistance protein 2) (Undecaprenyl pyrophosphate phosphatase 2)	uppP2 PST_2975	Pseudomonas stutzeri (strain A1501)	270	cell wall organization [GO:0071555]; dephosphorylation [GO:0016311]; peptidoglycan biosynthetic process [GO:0009252]; regulation of cell shape [GO:0008360]; response to antibiotic [GO:0046677]
O68951	VNFG_AZOSA	reviewed	Nitrogenase vanadium-iron protein delta chain (EC 1.18.6.1) (Dinitrogenase 2 subunit delta) (Nitrogenase component I)	vnfG	Azotobacter salinestris	113	nitrogen fixation [GO:0009399]
P08862	XISA_NOSS1	reviewed	Excisase A (NifD element site-specific recombinase)	xisA alr1442	Nostoc sp. (strain PCC 7120 / SAG 25.82 / UTEX 2576)	472	DNA integration [GO:0015074]; DNA recombination [GO:0006310]; DNA repair [GO:0006281]; heterocyst differentiation [GO:0043158]; nitrogen fixation [GO:0009399]
